--- ABOUT ---
"Company is engaged in engineering and contract construction, delivering state of-the-art infrastructure and buildings projects for clients in India. Company has experiences in working on residential, commercial, institutional, corporate offices, power plants, hospitals, hotels, IT parks, Metro stations and depots, and automated car parking lots for Government as well as private clients. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"5,619",839,"1,129",21.1

Book Value,Dividend Yield,ROCE,ROE
307,0.07,20.4,13.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,863,764,902,"1,026","1,164",919,"1,011",952,"1,216","1,005","1,177","1,061","1,322"
Expenses +,753,681,812,915,"1,059",859,938,868,"1,092",919,"1,049",965,"1,199"
Operating Profit,110,83,90,112,104,60,73,84,124,86,128,96,124
OPM %,13%,11%,10%,11%,9%,7%,7%,9%,10%,9%,11%,9%,9%
Other Income +,9,7,8,9,207,11,12,15,18,16,15,15,27
Interest,11,11,11,12,14,15,16,15,13,12,15,11,12
Depreciation,10,12,13,14,29,15,17,18,17,21,22,26,29
Profit before tax,98,67,74,95,269,41,53,67,112,70,106,74,110
Tax %,26%,26%,26%,26%,26%,26%,27%,26%,26%,26%,26%,27%,25%
Net Profit +,72,50,55,71,200,31,38,50,83,51,79,54,82
EPS in Rs,10.77,7.42,8.22,10.55,29.83,4.56,5.73,7.39,12.44,7.64,11.73,8.07,12.24
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,060","1,250","1,427","1,647","1,755","1,885","1,982","2,692","2,838","3,855","4,099","4,565"
Expenses +,945,"1,089","1,254","1,427","1,538","1,732","1,828","2,435","2,534","3,467","3,757","4,130"
Operating Profit,115,161,173,219,216,153,154,257,304,388,342,435
OPM %,11%,13%,12%,13%,12%,8%,8%,10%,11%,10%,8%,10%
Other Income +,11,13,8,6,10,10,22,28,30,232,56,73
Interest,39,35,27,25,19,35,43,44,33,48,58,50
Depreciation,21,20,24,26,28,32,30,34,39,67,67,98
Profit before tax,67,119,131,175,179,97,103,208,262,504,273,359
Tax %,4%,29%,34%,34%,35%,33%,25%,26%,26%,26%,26%,26%
Net Profit +,64,84,86,115,117,64,77,155,194,375,202,266
EPS in Rs,9.56,12.60,12.84,17.23,17.51,9.61,11.52,23.17,28.96,55.96,30.17,39.69
Dividend Payout %,0%,0%,0%,2%,2%,0%,0%,1%,1%,1%,2%,2%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,13,13,13,13,13,13,13,13,13,13,13,13
Reserves,324,409,495,608,724,789,865,"1,022","1,215","1,587","1,785","2,046"
Borrowings +,173,142,90,30,61,91,68,54,58,105,76,73
Other Liabilities +,532,593,637,601,689,868,"1,114",957,"1,207","1,490","1,831","2,133"
Total Liabilities,"1,042","1,157","1,235","1,252","1,488","1,762","2,061","2,046","2,493","3,195","3,706","4,265"
Fixed Assets +,121,118,198,190,191,226,235,228,293,337,456,634
CWIP,79,85,1,0,0,0,0,0,1,7,12,6
Investments,0,0,0,0,0,0,0,0,0,0,0,0
