--- ABOUT ---
"KNR Constructions Ltd, incorporated in 1995, is a Hyderabad-based infrastructure project development company providing EPC services in segments such as roads and highways, irrigation and urban water infrastructure management. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,961",141,245,9.06

Book Value,Dividend Yield,ROCE,ROE
177,0.18,10.4,9.19

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,245",981,"1,038",996,"1,414",985,"1,945",848,975,613,646,743,696
Expenses +,999,765,807,770,"1,039",706,"1,075",593,754,430,454,576,526
Operating Profit,246,216,232,226,375,279,870,256,221,183,193,167,169
OPM %,20%,22%,22%,23%,26%,28%,45%,30%,23%,30%,30%,22%,24%
Other Income +,10,8,5,7,125,21,132,122,-100,25,7,14,19
Interest,21,20,21,28,37,37,89,41,41,48,53,55,56
Depreciation,48,36,39,41,41,30,238,23,23,15,15,15,14
Profit before tax,187,167,177,164,422,232,675,313,58,144,132,110,118
Tax %,24%,23%,20%,17%,22%,24%,13%,20%,87%,16%,22%,8%,21%
Net Profit +,142,133,143,136,341,166,580,248,8,123,105,103,106
EPS in Rs,5.24,4.88,5.24,4.96,12.56,6.14,15.70,8.84,4.95,4.39,3.72,3.66,3.78
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,904,"1,192","1,642","2,070","2,292","2,452","2,904","3,606","4,062","4,429","4,753","2,698"
Expenses +,778,"1,019","1,378","1,620","1,754","1,829","2,205","2,804","3,145","3,380","3,144","1,987"
Operating Profit,127,172,264,449,538,623,699,802,918,"1,049","1,610",711
OPM %,14%,14%,16%,22%,23%,25%,24%,22%,23%,24%,34%,26%
Other Income +,14,46,30,55,75,66,144,78,98,162,172,65
Interest,14,57,73,82,90,111,133,151,153,106,208,212
Depreciation,55,71,116,194,230,254,190,165,181,157,314,59
Profit before tax,71,90,106,228,292,324,520,563,681,948,"1,260",505
Tax %,-0%,-24%,7%,-0%,9%,21%,26%,35%,36%,21%,20%,17%
Net Profit +,70,112,99,229,265,256,383,366,439,752,"1,002",437
EPS in Rs,2.48,3.99,4.09,8.66,9.62,9.44,14.49,13.58,16.29,27.64,35.62,15.54
Dividend Payout %,4%,5%,6%,2%,2%,3%,2%,2%,2%,1%,1%,2%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,28,28,28,28,28,28,56,56,56,56,56,56
Reserves,760,670,786,"1,020","1,283","1,533","1,912","2,271","2,723","3,498","4,485","4,916"
Borrowings +,734,735,721,770,758,875,764,"1,464",652,"1,262","1,849","2,444"
Other Liabilities +,490,552,707,790,660,"1,068","1,275","1,479",911,987,741,705
Total Liabilities,"2,012","1,986","2,242","2,608","2,729","3,503","4,007","5,270","4,342","5,804","7,131","8,122"
Fixed Assets +,235,738,"1,228","1,341","1,321","1,275",776,890,890,806,482,429
CWIP,"1,108",429,91,1,0,10,2,21,3,2,0,0
Investments,24,106,74,53,52,66,62,73,72,115,116,319
Other Assets +,645,713,849,"1,213","1,357","2,153","3,167","4,287","3,377","4,880","6,533","7,373"
Total Assets,"2,012","1,986","2,242","2,608","2,729","3,503","4,007","5,270","4,342","5,804","7,131","8,122"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,78,246,366,221,256,231,-76,-336,"1,194",-297,-567,-149
Cash from Investing Activity +,-549,-244,-250,-163,-184,-202,260,-408,67,-34,-167,-139
Cash from Financing Activity +,450,1,-124,-38,-108,2,-98,765,"-1,217",496,480,371
Net Cash Flow,-21,3,-8,20,-35,31,87,20,44,165,-253,83
Free Cash Flow,-466,-7,172,4,51,25,-170,-690,"1,100",-374,-592,-135
CFO/OP,88%,150%,145%,56%,59%,50%,1%,-18%,151%,-5%,-21%,-5%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,44,41,40,47,15,26,42,61,56,56,71,109
Inventory Days,60,72,81,53,57,60,58,70,57,49,40,63
Days Payable,82,130,165,176,131,127,99,95,95,62,76,134
Cash Conversion Cycle,23,-16,-44,-75,-58,-42,1,36,18,42,34,39
Working Capital Days,17,17,2,33,30,-11,-13,37,77,77,154,345
ROCE %,6%,9%,12%,18%,19%,19%,22%,20%,21%,26%,29%,10%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,51.09%,51.09%,51.09%,51.09%,48.81%,48.81%,48.81%,48.81%,48.81%,48.81%,48.81%,48.81%
FIIs +,5.98%,6.61%,7.57%,7.13%,8.18%,6.66%,6.99%,6.91%,7.06%,7.52%,7.38%,6.30%
DIIs +,33.66%,32.27%,29.32%,30.46%,30.75%,30.47%,29.70%,28.31%,25.10%,21.51%,20.02%,19.32%
Public +,9.28%,10.03%,12.01%,11.30%,12.27%,14.06%,14.49%,15.96%,19.02%,22.17%,23.79%,25.58%
No. of Shareholders,"96,007","1,04,071","1,15,770","1,30,671","1,56,477","1,96,244","2,09,987","2,20,679","2,30,986","2,48,233","2,45,326","2,42,702"

--- CAGR BOXES ---




